TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Motor 2 Speed,Shooter Desired Speed,Right Intern Moter Current,Distance Sensor Raw Voltage,Driver FwdRev Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Rotate to Color,Color Needed,Shooter Motor 1 Speed,Shooter State Command,Raspberry Pi Duration,Pneumatics Compressor Current,Raspberry Pi Angle,Climber Input Command,Hopper Spark Right Cmd,Operator Controller Shoot Command,Left Climber Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Conveyor Motor Speed Command,Raspberry Pi Framerate,Operator Controller Eject Desired Command,Panel 3.25 spin,Conveyor Intake End Ball Present,Intake Speed State,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Photon Cannon State,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Drivetrain Left Wheel Actual Speed,Battery Voltage,Hopper Spark Left Current,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Ball Counter Ball Height State,Right Climber Current,Operator Controller Ctrl Panel Seek To Color Command,Hopper Spark Left Cmd,Raspberry Pi Stable Target,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,roboRIO CPU Load,Distance Sensor Available,Pneumatics Cutoff Switch State,IMU Comp Y Angle,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Hopper Spark Right Current,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Driver Auto Align Command,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Color Sensor Green Intensity,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Climber Motor Command,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,Drivetrain Desired Heading,Raspberry Pi Visible Target,Intake Position State,Raspberry Pi Vision System Online,Shooter Control Mode,
sec,bool,count,deg,RPM,RPM,Amps,V,cmd,cmd,deg,degrees,Color,RPM,state,sec,A,deg,cmd,Cmd,bool,Amp,ft,ft,mode,deg,Amps,A,psi,RPM,Amps,pct,pct,fps,bool,degrees,bool,state,bool,sec,deg,A,pct,bool,in,bool,bool,deg,ft,ft,A,pct,cmd,boolean,deg,RPM,V,Amp,bool,pct,boolean,intensity,RPM,bool,heightState,Amp,bool,Cmd,boolean,bool,RPM,sec,pct,bool,bool,deg,color,Amps,intensity,Amp,count,RPM,bool,bool,A,intensity,pct,Amps,in,cmd,count,boolean,RPM,bool,deg,boolean,state,bool,state,
32.042767,,,,,,,,,,,,,,,,6.4375,,,,,,,,,,,,132.586654425,,,,,,,,,,,0.06506799999999657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
32.043458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.042767,,,0.0,,,88.0,,,,0.0,0.0,-1.0,,,-1.0,,-1.0,0.0,,,0.0,,,0.0,,88.0,,,0.0,88.0,0.7593005299568176,,-1.0,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,0.7607654333114624,,-1.0,0.0,0.0,11.55,,,,-1.0,0.0,0.0,,,,,,0.0,,,0.07238600000000162,,,,0.0,-1.0,,0.0,,16.0,0.0,,,,0.0,0.13923096656799316,88.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,
32.118133,,,,,,,,,,,,,,,,6.53125,,,,,,,,,,,,132.586654425,,,,,,,,,,,0.07536600000000249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
32.118932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.118133,,,0.0,,,88.0,,,,0.0,0.0,-1.0,,,-1.0,,-1.0,0.0,,,0.0,,,0.0,,88.0,,,0.0,88.0,-0.8037354946136475,,-1.0,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,-0.8022705912590027,,-1.0,0.0,0.0,11.55,,,,-1.0,0.0,0.0,,,,,,0.0,,,0.056846000000000174,,,,0.0,-1.0,,0.0,,64.0,0.0,,,,0.0,0.13068461418151855,88.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,
32.178309,,,,,,,,,,,,,,,,6.5625,,,,,,,,,,,,132.586654425,,,,,,,,,,,0.06017599999999845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
32.179015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.178309,,,0.0,,,88.0,,,,0.0,0.0,-1.0,,,-1.0,,-1.0,0.0,,,0.0,,,0.0,,88.0,,,0.0,88.0,-0.6687215566635132,,-1.0,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,-0.6672567129135132,,-1.0,0.0,0.0,11.600000000000001,,,,-1.0,0.0,0.0,,,,,,0.0,,,0.0697669999999988,,,,0.0,-1.0,,0.0,,16.0,0.0,,,,0.0,0.12954683601856232,88.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,
32.277986,,,,,,,,,,,,,,,,6.65625,,,,,,,,,,,,132.54087806249998,,,,,,,,,,,0.0996769999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
32.278733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.277986,,,0.0,,,88.0,,,,0.0,0.0,-1.0,,,-1.0,,-1.0,0.0,,,0.0,,,0.0,,88.0,,,0.0,88.0,-0.6916714906692505,,-1.0,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,-0.6902065873146057,,-1.0,0.0,0.0,11.55,,,,-1.0,0.0,0.0,,,,,,0.0,,,0.0681550000000044,,,,0.0,-1.0,,0.0,,64.0,0.0,,,,0.0,0.11525332927703857,88.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,
